transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,discountpercent,paymenttype
550,1/6/2024,1008,102,404,0,39.1,5.0,Credit
551,1/6/2024,1009,105,403,0,19.78,10.0,Cash
552,1/16/2024,1004,107,404,0,335.1,5.0,Credit
553,1/16/2024,1006,102,406,0,195.5,5.0,Credit
554,1/25/2024,1005,102,405,0,117.3,5.0,Credit
555,1/25/2024,1001,101,401,0,2379.36,7.0,Cash
556,1/29/2024,1009,104,403,0,172.4,2.5,Cash
557,1/29/2024,1010,101,402,0,3172.48,8.0,Credit
558,2/6/2024,1002,102,402,0,312.8,5.0,Credit
559,2/6/2024,1001,106,401,0,622.86,5.0,Credit
560,2/6/2024,1010,101,402,0,6344.96,7.0,Cash
561,2/6/2024,1005,107,405,0,469.14,5.0,Credit
562,2/8/2024,1003,108,403,0,12.56,7.2,Cash
563,2/8/2024,1006,107,406,0,67.02,0.0,Credit
564,2/9/2024,1009,107,403,0,469.14,10.0,Credit
565,2/9/2024,1002,105,402,0,138.46,15.0,Cash
566,2/24/2024,1007,103,405,0,204.84,4.2,Credit
567,2/24/2024,1007,106,405,0,444.9,5.0,Credit
568,2/24/2024,1011,107,401,0,603.18,5.0,Credit
569,2/24/2024,1010,101,402,0,3965.6,10.0,Cash
570,2/27/2024,1010,107,402,0,402.12,7.5,Cash
571,2/27/2024,1011,106,401,0,533.88,5.0,Credit
572,3/20/2024,1005,105,405,0,178.02,8.0,Credit
573,3/20/2024,1001,101,401,0,7138.08,10.0,Cash
574,3/25/2024,1006,101,406,0,4758.72,20.0,CreditCard
575,3/25/2024,1001,108,401,0,75.36,0.0,PayPal
576,4/7/2024,1001,108,401,0,113.04,10.0,Cash
577,4/7/2024,1005,104,405,0,387.9,0.0,PayPal
578,4/10/2024,1006,106,406,0,800.82,20.0,CreditCard
579,4/10/2024,1008,106,404,0,800.82,10.0,CreditCard
580,4/11/2024,1004,103,404,0,22.76,20.0,PayPal
581,4/11/2024,1009,101,403,0,793.12,20.0,Cash
582,4/19/2024,1001,101,401,0,6344.96,0.0,PayPal
583,4/19/2024,1009,102,403,0,312.8,5.0,CreditCard
584,4/27/2024,1007,101,405,0,7138.08,20.0,CreditCard
585,4/27/2024,1002,108,402,0,113.04,0.0,PayPal
586,4/30/2024,1001,105,401,0,39.56,15.0,PayPal
587,4/30/2024,1007,102,405,0,78.2,10.0,CreditCard
588,5/2/2024,1002,102,402,0,117.3,10.0,PayPal
589,5/2/2024,1007,102,405,0,117.3,0.0,PayPal
590,5/8/2024,1005,107,405,1,603.18,15.0,CreditCard
591,5/8/2024,1004,101,404,1,7138.08,10.0,PayPal
592,5/17/2024,1006,107,406,1,670.2,20.0,Cash
593,5/17/2024,1008,104,404,1,431.0,10.0,CreditCard
594,5/19/2024,1003,101,403,1,1586.24,10.0,CreditCard
595,5/19/2024,1006,108,406,1,25.12,0.0,PayPal
596,5/29/2024,1011,105,401,0,98.9,20.0,Cash
597,5/29/2024,1008,102,404,0,195.5,20.0,CreditCard
598,6/6/2024,1001,104,401,0,387.9,20.0,PayPal
599,6/6/2024,1004,102,404,0,351.9,10.0,CreditCard
600,6/12/2024,1010,103,402,0,182.08,20.0,PayPal
601,6/12/2024,1005,106,405,0,711.84,10.0,Cash
602,6/17/2024,1007,101,405,0,2379.36,0.0,Cash
603,6/17/2024,1006,101,406,0,2379.36,10.0,CreditCard
604,6/20/2024,1009,102,403,0,39.1,5.0,Cash
605,6/20/2024,1002,108,402,0,12.56,0.0,Cash
606,7/2/2024,1005,105,405,0,79.12,15.0,CreditCard
607,7/2/2024,1011,108,401,0,50.24,0.0,Cash
608,7/4/2024,1003,102,403,0,39.1,5.0,CreditCard
609,7/4/2024,1004,101,404,0,3965.6,15.0,PayPal
610,7/4/2024,1010,106,402,0,88.98,5.0,PayPal
611,7/4/2024,1006,102,406,0,195.5,10.0,PayPal
612,7/7/2024,1003,104,403,2,258.6,10.0,PayPal
613,7/7/2024,1003,104,403,2,258.6,10.0,PayPal
614,7/15/2024,1011,101,401,2,7138.08,5.0,Cash
615,7/15/2024,1010,104,402,2,387.9,15.0,Cash
616,7/17/2024,1001,107,401,2,134.04,15.0,Cash
617,7/17/2024,1003,107,403,2,134.04,15.0,CreditCard
618,7/21/2024,1001,104,401,2,172.4,10.0,CreditCard
619,7/21/2024,1008,105,404,2,79.12,20.0,Cash
620,7/25/2024,1007,108,405,0,125.6,-0.0,CreditCard
621,7/25/2024,1010,101,402,0,7931.2,0.0,PayP3al
622,8/1/2024,1003,108,403,0,100.48,10.0,PayPal
623,8/1/2024,1002,107,402,0,536.16,5.0,Cadsh
624,8/2/2024,1011,108,401,0,125.6,20.0,Cash
625,8/2/2024,1002,108,402,0,125.6,20.0,CreditCard
626,8/5/2024,1003,108,403,0,37.68,-20.0,PayPal
627,8/5/2024,1006,104,406,0,129.3,0.0,CreditCard
628,8/14/2024,1011,107,401,0,201.06,15.0,CreditCard
629,8/14/2024,1006,101,406,0,2379.36,15.0,PayPal
630,8/21/2024,1007,104,405,0,172.4,10.0,PayPal
631,8/21/2024,1002,107,402,0,268.08,0.0,Cash
632,8/25/2024,1006,108,406,0,75.36,20.0,CreditCard
633,8/25/2024,1002,104,402,0,258.6,0.0,PayPal
634,8/28/2024,1006,105,406,0,39.56,20.0,Casdh
635,8/28/2024,1005,106,405,0,177.96,20.0,CreditCard
636,9/5/2024,1005,107,405,3,1072.32,0.0,CreditCard
637,9/5/2024,1007,107,405,3,1072.32,15.0,PayPal
638,9/22/2024,1001,101,401,3,6344.96,5.0,PayPal
639,9/22/2024,1007,104,405,3,689.6,15.0,Cashcash
641,9/30/2024,1010,103,402,3,45.52,042333331.0,PayPal
642,10/10/2024,1002,101,402,0,5551.84,0.0,CreditCard
643,10/10/2024,1010,104,402,0,301.7,15.0,Cash
